year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2024,常规批第2次,普通类,D830,广西外国语学院,0Z,计算机科学与技术（一年级在广西扶绥县中国-东盟南宁空港经济区空港校区就读，二、三、四年级在广西南宁市五合校区就读）,物理和化学,,4,1,25200
2024,常规批第2次,普通类,D842,南京理工大学泰州科技学院,17,环境工程,物理和化学,,4,1,22000
2024,常规批第2次,普通类,D857,山东华宇工学院,04,材料成型及控制工程,物理和化学,,4,13,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,05,机械电子工程,物理和化学,,4,18,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,06,车辆工程,物理和化学,,4,23,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,07,汽车服务工程,物理和化学,,4,27,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,08,智能制造工程,物理和化学,,4,49,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,09,新能源汽车工程,物理和化学,,4,42,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,10,测控技术与仪器,物理和化学,,4,41,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,11,能源与动力工程,物理和化学,,4,58,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,12,新能源科学与工程,物理和化学,,4,43,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,14,电气工程与智能控制,物理和化学,,4,36,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,15,电子信息工程,物理和化学,,4,77,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,16,自动化,物理和化学,,4,50,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,17,机器人工程,物理和化学,,4,63,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,18,软件工程,物理和化学,,4,45,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,19,网络工程,物理和化学,,4,73,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,20,物联网工程,物理和化学,,4,73,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,21,数字媒体技术,物理和化学,,4,55,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,22,数据科学与大数据技术,物理和化学,,4,58,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,23,建筑环境与能源应用工程,物理和化学,,4,11,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,24,道路桥梁与渡河工程,物理和化学,,4,14,19800
2024,常规批第2次,普通类,D857,山东华宇工学院,25,智能建造,物理和化学,,4,67,19800
2024,常规批第2次,普通类,D892,三亚学院,G1,金融科技（新增计划）,物理,,4,1,48000
2024,常规批第2次,普通类,D894,西安明德理工学院,11,计算机科学与技术,物理和化学,,4,2,27500
