year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2025,240,635,655519,124,300594,102,286836,187,254823,457,346405,507,349766,525,428129
2025,239,637,656156,132,300726,104,286940,190,255013,447,346852,513,350279,525,428654
2025,238,613,656769,128,300854,115,287055,168,255181,441,347293,481,350760,506,429160
2025,237,676,657445,150,301004,127,287182,227,255408,450,347743,522,351282,552,429712
2025,236,558,658003,118,301122,103,287285,177,255585,394,348137,434,351716,448,430160
2025,235,631,658634,135,301257,118,287403,212,255797,435,348572,502,352218,491,430651
2025,234,570,659204,114,301371,100,287503,181,255978,406,348978,454,352672,455,431106
2025,233,588,659792,124,301495,116,287619,188,256166,409,349387,461,353133,466,431572
2025,232,573,660365,125,301620,107,287726,179,256345,412,349799,443,353576,453,432025
2025,231,550,660915,97,301717,97,287823,164,256509,395,350194,442,354018,455,432480
2025,230,532,661447,124,301841,102,287925,182,256691,359,350553,409,354427,420,432900
2025,229,562,662009,141,301982,109,288034,170,256861,400,350953,426,354853,439,433339
2025,228,494,662503,96,302078,83,288117,138,256999,360,351313,401,355254,404,433743
2025,227,490,662993,113,302191,87,288204,157,257156,353,351666,379,355633,381,434124
2025,226,522,663515,126,302317,101,288305,164,257320,359,352025,391,356024,425,434549
2025,225,491,664006,103,302420,83,288388,168,257488,341,352366,390,356414,387,434936
2025,224,489,664495,117,302537,102,288490,124,257612,354,352720,373,356787,397,435333
2025,223,456,664951,91,302628,75,288565,137,257749,344,353064,364,357151,357,435690
2025,222,470,665421,87,302715,73,288638,138,257887,358,353422,379,357530,375,436065
2025,221,439,665860,98,302813,87,288725,143,258030,309,353731,343,357873,334,436399
2025,220,428,666288,75,302888,58,288783,132,258162,314,354045,356,358229,349,436748
2025,219,405,666693,82,302970,73,288856,107,258269,307,354352,323,358552,323,437071
2025,218,441,667134,90,303060,71,288927,142,258411,326,354678,346,358898,347,437418
2025,217,405,667539,90,303150,83,289010,137,258548,285,354963,301,359199,319,437737
2025,216,421,667960,89,303239,73,289083,125,258673,299,355262,338,359537,337,438074
2025,215,397,668357,78,303317,74,289157,129,258802,284,355546,314,359851,309,438383
2025,214,392,668749,92,303409,84,289241,120,258922,277,355823,302,360153,301,438684
2025,213,405,669154,77,303486,61,289302,141,259063,307,356130,324,360477,305,438989
2025,212,366,669520,64,303550,63,289365,118,259181,259,356389,298,360775,293,439282
2025,211,361,669881,81,303631,75,289440,104,259285,249,356638,285,361060,289,439571
2025,210,375,670256,78,303709,67,289507,122,259407,271,356909,306,361366,281,439852
2025,209,380,670636,82,303791,72,289579,120,259527,272,357181,299,361665,295,440147
2025,208,351,670987,81,303872,71,289650,112,259639,253,357434,274,361939,262,440409
2025,207,333,671320,58,303930,56,289706,101,259740,254,357688,267,362206,263,440672
2025,206,317,671637,48,303978,44,289750,97,259837,246,357934,265,362471,251,440923
2025,205,320,671957,60,304038,56,289806,96,259933,229,358163,266,362737,253,441176
2025,204,361,672318,67,304105,62,289868,115,260048,271,358434,287,363024,281,441457
2025,203,309,672627,65,304170,47,289915,100,260148,231,358665,250,363274,232,441689
